Energy sigmaCC sigmaNC
75.0791 51.0787 16.1915
75.2042 51.1623 16.2177
75.3293 51.2458 16.244
75.4544 51.3294 16.2702
75.5795 51.413 16.2964
75.7046 51.4967 16.3227
75.8298 51.5805 16.3489
75.9549 51.6643 16.3751
76.08 51.7483 16.4013
76.2051 51.8323 16.4275
76.3302 51.9163 16.4538
76.4553 52.0005 16.48
76.5805 52.0846 16.5062
76.7056 52.1688 16.5324
76.8307 52.2529 16.5587
76.9558 52.337 16.5849
77.0809 52.4209 16.6111
77.206 52.5047 16.6374
77.3311 52.5884 16.6636
77.4563 52.672 16.6898
77.5814 52.7554 16.716
77.7065 52.8386 16.7423
77.8316 52.9218 16.7685
77.9567 53.0049 16.7947
78.0818 53.088 16.8209
78.2069 53.171 16.8472
78.3321 53.2541 16.8734
78.4572 53.3372 16.8996
78.5823 53.4204 16.9259
78.7074 53.5036 16.9521
78.8325 53.587 16.9783
78.9576 53.6704 17.0046
79.0828 53.754 17.0308
79.2079 53.8376 17.057
79.333 53.9212 17.0833
79.4581 54.0049 17.1095
79.5832 54.0887 17.1357
79.7083 54.1724 17.162
79.8334 54.2561 17.1882
79.9586 54.3399 17.2145
80.0837 54.4236 17.2407
80.2088 54.5073 17.267
80.3339 54.591 17.2932
80.459 54.6747 17.3194
80.5841 54.7583 17.3457
80.7092 54.842 17.3719
80.8344 54.9256 17.3982
80.9595 55.0093 17.4244
81.0846 55.0929 17.4507
81.2097 55.1765 17.4769
81.3348 55.2602 17.5032
81.4599 55.3439 17.5294
81.5851 55.4275 17.5557
81.7102 55.5112 17.5819
81.8353 55.5949 17.6081
81.9604 55.6786 17.6344
82.0855 55.7623 17.6606
82.2106 55.846 17.6869
82.3357 55.9297 17.7131
82.4609 56.0134 17.7394
82.586 56.0971 17.7656
82.7111 56.1808 17.7918
82.8362 56.2644 17.8181
82.9613 56.3481 17.8443
83.0864 56.4318 17.8705
83.2116 56.5155 17.8968
83.3367 56.5991 17.923
83.4618 56.6828 17.9492
83.5869 56.7665 17.9755
83.712 56.8501 18.0017
83.8371 56.9337 18.0279
83.9622 57.0174 18.0541
84.0874 57.101 18.0803
84.2125 57.1846 18.1066
84.3376 57.2682 18.1328
84.4627 57.3519 18.159
84.5878 57.4355 18.1852
84.7129 57.519 18.2114
84.838 57.6026 18.2376
84.9632 57.6862 18.2638
85.0883 57.7698 18.29
85.2134 57.8533 18.3161
85.3385 57.9369 18.3423
85.4636 58.0204 18.3685
85.5887 58.1039 18.3947
85.7139 58.1874 18.4208
85.839 58.2709 18.447
85.9641 58.3544 18.4731
86.0892 58.4379 18.4993
86.2143 58.5213 18.5254
86.3394 58.6048 18.5516
86.4645 58.6882 18.5777
86.5897 58.7716 18.6039
86.7148 58.855 18.63
86.8399 58.9384 18.6562
86.965 59.0217 18.6823
87.0901 59.1051 18.7084
87.2152 59.1884 18.7346
87.3404 59.2717 18.7607
87.4655 59.3551 18.7868
87.5906 59.4384 18.8129
87.7157 59.5216 18.839
87.8408 59.6049 18.8652
87.9659 59.6882 18.8913
88.091 59.7715 18.9174
