,energy,nu,nubar,tau,taubar,nc,ncbar
202,25.2833,17.5646,8.21738,7.853980769529663,3.963846453437317,5.65913,3.04698
203,25.4084,17.6495,8.25747,7.905091021504444,3.9930565672538973,5.68587,3.06149
204,25.5335,17.7343,8.29756,7.956201273479225,4.022266681070478,5.71261,3.076
205,25.6586,17.8191,8.33766,8.007311525454005,4.0514767948870585,5.73934,3.09052
206,25.7837,17.9038,8.37776,8.058421777428787,4.0806869087036395,5.76608,3.10503
207,25.9088,17.9886,8.41785,8.109532029403567,4.1098970225202205,5.79281,3.11955
208,26.0339,18.0733,8.45795,8.170729866056009,4.139107136336801,5.81954,3.13407
209,26.1591,18.1581,8.49805,8.235628134266886,4.168340599564905,5.84627,3.1486
210,26.2842,18.2427,8.53815,8.300474566800279,4.197550713381486,5.873,3.16313
211,26.4093,18.3274,8.57825,8.365320999333674,4.2277986583603235,5.89973,3.17767
212,26.5344,18.4121,8.61835,8.430167431867067,4.2601034850443025,5.92645,3.1922
213,26.6595,18.4967,8.65846,8.49501386440046,4.292408311728281,5.95318,3.20674
214,26.7846,18.5814,8.69858,8.559860296933854,4.32471313841226,5.97991,3.22128
215,26.9097,18.666,8.7387,8.624706729467247,4.35701796509624,6.00663,3.23582
216,27.0349,18.7506,8.77882,8.689604997678124,4.389348614983004,6.03335,3.25037
217,27.16,18.8353,8.81895,8.754451430211518,4.421653441666983,6.06007,3.26491
218,27.2851,18.9199,8.85909,8.8174947320808,4.453958268350962,6.08679,3.27946
219,27.4102,19.0045,8.89923,8.876515930294216,4.486263095034941,6.11351,3.294
220,27.5353,19.0891,8.93938,8.935537128507631,4.515124292227061,6.14023,3.30855
221,27.6604,19.1738,8.97954,8.994558326721046,4.5433927297449035,6.16695,3.3231
222,27.7856,19.2584,9.01971,9.05362670414966,4.571683763935421,6.19366,3.33764
223,27.9107,19.3431,9.05989,9.112647902363078,4.599952201453263,6.22038,3.35218
224,28.0358,19.4277,9.10008,9.171669100576493,4.628220638971104,6.24709,3.36673
225,28.1609,19.5124,9.14028,9.230690298789911,4.656489076488947,6.2738,3.38127
226,28.286,19.5971,9.18048,9.289711497003326,4.684757514006789,6.30051,3.39581
227,28.4111,19.6818,9.2207,9.348732695216743,4.713025951524631,6.32721,3.41035
228,28.5362,19.7665,9.26092,9.418525778020818,4.741225710182685,6.35391,3.42489
229,28.6614,19.8512,9.30115,9.500870996862659,4.767977916509698,6.38061,3.43944
230,28.7865,19.9359,9.34139,9.583150444762934,4.794708755259772,6.40731,3.45398
231,28.9116,20.0206,9.38164,9.665429892663207,4.8214395940098465,6.434,3.46852
232,29.0367,20.1053,9.4219,9.747709340563482,4.848170432759921,6.46069,3.48306
233,29.1618,20.19,9.46215,9.829988788463755,4.874901271509995,6.48738,3.4976
234,29.2869,20.2747,9.50242,9.91226823636403,4.90163211026007,6.51406,3.51214
235,29.4121,20.3594,9.54269,9.99461345520587,4.928384316587082,6.54075,3.52668
236,29.5372,20.4441,9.58296,10.037449790567138,4.955115155337157,6.56742,3.54122
237,29.6623,20.5288,9.62324,10.07752303487671,4.988049684180736,6.59409,3.55576
238,29.7874,20.6135,9.66352,10.117596279186285,5.021754682503901,6.62076,3.5703
239,29.9125,20.6982,9.70381,10.157669523495858,5.055459680827065,6.64742,3.58484
240,30.0376,20.7829,9.7441,10.197742767805432,5.089164679150228,6.67408,3.59939
241,30.1627,20.8676,9.78439,10.237816012115005,5.122869677473392,6.70074,3.61393
242,30.2879,20.9522,9.82468,10.27792128939365,5.156601618241258,6.72739,3.62848
243,30.413,21.0369,9.86498,10.317994533703223,5.190306616564421,6.75404,3.64302
244,30.5381,21.1215,9.90528,10.37614786384348,5.224011614887585,6.78069,3.65757
245,30.6632,21.2062,9.94559,10.438113054018736,5.25173105152267,6.80734,3.67212
246,30.7883,21.2908,9.98589,10.500078244193993,5.277276715521036,6.83398,3.68666
247,30.9134,21.3755,10.0262,10.56204343436925,5.302822379519401,6.86063,3.70121
248,31.0385,21.4601,10.0665,10.624008624544507,5.328368043517766,6.88727,3.71576
249,31.1637,21.5448,10.1068,10.686023347245884,5.353934127711173,6.91391,3.73031
250,31.2888,21.6294,10.1471,10.747988537421142,5.379479791709538,6.94055,3.74486
251,31.4139,21.714,10.1875,10.8099537275964,5.405025455707904,6.96719,3.75942
252,31.539,21.7986,10.2278,10.871918917771657,5.432345001777914,6.99383,3.77398
253,31.6641,21.8832,10.2681,10.933884107946914,5.465597058200785,7.02047,3.78853
254,31.7892,21.9679,10.3085,10.99584929812217,5.498849114623657,7.04712,3.80309
255,31.9144,22.0525,10.3488,11.067614023775633,5.532127751427362,7.07376,3.81764
256,32.0395,22.1371,10.3891,11.141443577670593,5.565379807850233,7.10041,3.8322
257,32.1646,22.2217,10.4295,11.215273131565558,5.598631864273105,7.12707,3.84675
258,32.2897,22.3063,10.4698,11.289102685460524,5.631883920695977,7.15372,3.8613
259,32.4148,22.3908,10.5102,11.362932239355485,5.665135977118848,7.18037,3.87586
260,32.5399,22.4754,10.5505,11.436761793250449,5.69612296122962,7.20703,3.89043
261,32.665,22.56,10.5909,11.51059134714541,5.726258439625973,7.23367,3.90501
262,32.7902,22.6446,10.6312,11.584479917470345,5.756418007133753,7.26032,3.91961
263,32.9153,22.7292,10.6716,11.65830947136531,5.786553485530107,7.28697,3.93422
264,33.0404,22.8138,10.712,11.73213902526027,5.816688963926459,7.31362,3.94884
265,33.1655,22.8984,10.7524,11.799209661356038,5.846824442322813,7.34028,3.96346
266,33.2906,22.9829,10.7928,11.866109789210153,5.876959920719165,7.36696,3.97808
267,33.4157,23.0675,10.8332,11.933009917064272,5.907095399115518,7.39364,3.9927
268,33.5409,23.1521,10.8736,11.999963522238815,5.937254966623299,7.42035,4.00731
269,33.666,23.2367,10.914,12.06686365009293,5.967390445019651,7.44706,4.02191
270,33.7911,23.3213,10.9544,12.13376377794705,5.997852871800385,7.47377,4.03649
271,33.9162,23.4059,10.9948,12.20066390580117,6.02912456024346,7.50049,4.05106
272,34.0413,23.4904,11.0353,12.267564033655285,6.060396248686534,7.52719,4.06561
273,34.1664,23.575,11.0757,12.334464161509404,6.09166793712961,7.55388,4.08013
274,34.2915,23.6596,11.1161,12.401364289363519,6.122939625572683,7.58055,4.09463
275,34.4167,23.7442,11.1566,12.468317894538062,6.15423631136863,7.60721,4.10913
276,34.5418,23.8287,11.197,12.535618959088836,6.185507999811705,7.63385,4.12364
277,34.6669,23.9133,11.2375,12.603541734975527,6.216779688254778,7.66049,4.13817
278,34.792,23.9979,11.2779,12.671464510862224,6.248051376697854,7.68711,4.15273
279,34.9171,24.0825,11.3184,12.739387286748917,6.27838103491542,7.71373,4.16734
280,35.0422,24.167,11.3589,12.807310062635612,6.307687186383333,7.74034,4.18198
281,35.1673,24.2516,11.3993,12.875232838522304,6.3369933378512435,7.76695,4.19664
282,35.2925,24.3361,11.4398,12.943209909193879,6.366322915499385,7.79356,4.21129
283,35.4176,24.4207,11.4803,13.011132685080575,6.395629066967297,7.82017,4.22593
284,35.5427,24.5053,11.5208,13.079055460967272,6.424935218435209,7.84679,4.24054
285,35.6678,24.5898,11.5613,13.146978236853963,6.45424136990312,7.87342,4.25511
286,35.7929,24.6744,11.6017,13.21490101274066,6.483547521371032,7.90006,4.26964
287,35.918,24.7589,11.6422,13.28282378862735,6.515843320569456,7.92669,4.28415
288,36.0432,24.8435,11.6827,13.346659577541413,6.54977884771462,7.95331,4.29865
289,36.1683,24.928,11.7232,13.396535539008337,6.583687269806156,7.97992,4.31316
290,36.2934,25.0125,11.7638,13.446411500475259,6.617595691897691,8.0065,4.32768
291,36.4185,25.0969,11.8044,13.496287461942185,6.651504113989226,8.03305,4.34222
292,36.5436,25.1814,11.8449,13.546163423409107,6.685412536080761,8.05958,4.35679
293,36.6687,25.2659,11.8854,13.59603938487603,6.719320958172296,8.0861,4.37137
294,36.7938,25.3503,11.9258,13.645915346342953,6.75322938026383,8.11261,4.38596
295,36.919,25.4349,11.9661,13.695831176683951,6.787164907408996,8.13913,4.40056
296,37.0441,25.5194,12.0065,13.745707138150877,6.820327109246792,8.16566,4.41516
297,37.1692,25.6039,12.0469,13.803714918847373,6.8533492023000955,8.1922,4.42976
298,37.2943,25.6883,12.0876,13.86860607891269,6.886371295353402,8.21877,4.44435
299,37.4194,25.7726,12.1285,13.933497238978006,6.919393388406708,8.24535,4.45894
300,37.5445,25.8569,12.1698,13.99838839904332,6.9524154814600125,8.27194,4.47352
301,37.6696,25.9412,12.2113,14.063279559108636,6.985437574513318,8.29854,4.4881
302,37.7948,26.0255,12.2528,14.128222590604858,7.01848606412382,8.32514,4.50269
303,37.9199,26.1101,12.2941,14.193113750670172,7.051508157177125,8.35173,4.51727
304,38.045,26.195,12.335,14.258004910735488,7.084530250230431,8.37832,4.53186
305,38.1701,26.2802,12.3753,14.322896070800802,7.11818538511692,8.4049,4.54645
306,38.2952,26.3657,12.4152,14.387787230866119,7.1528694264906,8.43148,4.56104
307,38.4203,26.4511,12.4548,14.453048062283367,7.187553467864277,8.45805,4.57563
308,38.5455,26.5364,12.4944,14.521182376756606,7.222265234291013,8.48462,4.59022
309,38.6706,26.6212,12.5341,14.589262270850876,7.256949275664693,8.51119,4.60481
310,38.7957,26.7055,12.5741,14.65734216494514,7.291633317038371,8.53776,4.61941
311,38.9208,26.7894,12.6145,14.72542205903941,7.326317358412051,8.56433,4.634
312,39.0459,26.8729,12.6551,14.793501953133678,7.361001399785731,8.5909,4.64859
313,39.171,26.9564,12.6959,14.861581847227944,7.38598314630271,8.61747,4.66319
314,39.2961,27.04,12.7367,14.929661741322212,7.409610467609076,8.64404,4.67778
315,39.4213,27.1238,12.7774,14.997796055795451,7.433256675663087,8.67061,4.69238
316,39.5464,27.208,12.8181,15.065875949889717,7.456883996969452,8.69717,4.70697
317,39.6715,27.2924,12.8587,15.133955843983985,7.480511318275818,8.72374,4.72157
318,39.7966,27.3771,12.8993,15.204747661163513,7.504138639582182,8.7503,4.73616
319,39.9217,27.4618,12.9398,15.27675169259638,7.527765960888548,8.77686,4.75076
320,40.0468,27.5465,12.9804,15.348755724029242,7.551393282194912,8.80342,4.76536
321,40.172,27.6311,13.021,15.42081731264151,7.575039490248924,8.82998,4.77996
322,40.2971,27.7157,13.0617,15.492821344074377,7.59866681155529,8.85654,4.79455
