Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.37166666666666665 7.42e-05 0.003 4.014 normal 0.994264771059615 0.9963527721478489 0.9991124532022897 181.23143064262285
0.304 0.022 0.3883333333333333 7.42e-05 0.0023 4.014 normal 0.9811751875402583 0.9956651100915593 0.997536441086942 73.22914683115994
0.304 0.022 0.3883333333333333 7.42e-05 0.00215 4.014 normal 0.9777736130262041 0.9945317109399817 0.9967319913712807 138.10052126261036
0.304 0.022 0.3883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9795505787887807 0.9951793677571358 0.9974368319000352 93.24970224389081
0.304 0.022 0.3883333333333333 7.42e-05 0.0022 4.014 normal 0.9794765976224276 0.9947078481806753 0.9972624670217453 114.74366319516206
0.304 0.022 0.3883333333333333 7.42e-05 0.0021 4.014 normal 0.9769900553023527 0.9944272542324204 0.9960747596552474 166.72511561426484
0.304 0.022 0.3883333333333333 7.42e-05 0.00205 4.014 normal 0.9754450983652887 0.994123575498557 0.9955835249220572 201.835464849981
0.304 0.022 0.3883333333333333 7.42e-05 0.002 4.014 normal 0.9747354540562343 0.9937169466276418 0.9953846174000428 241.3752527589886
0.304 0.022 0.3883333333333333 7.42e-05 0.0026 4.014 normal 0.9877211835592219 0.998661842729884 0.9995798762251707 34.22324576633621
0.304 0.022 0.3883333333333333 7.42e-05 0.00255 4.014 normal 0.9864263167753936 0.997912563850246 0.9992497527708323 25.369778354880168
0.304 0.022 0.3883333333333333 7.42e-05 0.00265 4.014 normal 0.988239021784028 0.9991651881343093 0.9996760955770442 47.053606323049216
0.304 0.022 0.3883333333333333 7.42e-05 0.0025 4.014 normal 0.9857954964045187 0.997267898539817 0.998680262796472 22.507839039733998
0.304 0.022 0.3883333333333333 7.42e-05 0.0027 4.014 normal 0.9894721082077256 0.9992476489646488 0.9997616982853488 62.35283894588178
0.304 0.022 0.3883333333333333 7.42e-05 0.00245 4.014 normal 0.9845576918756137 0.9970251302135397 0.9982623543789079 27.28876916653862
0.304 0.022 0.3883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9833153503842074 0.9966363021457366 0.9978545046504962 38.84519884032586
0.304 0.022 0.3883333333333333 7.42e-05 0.00235 4.014 normal 0.9820968276687158 0.99622433665015 0.9976891710315822 55.02597162176559
0.304 0.022 0.3883333333333333 7.42e-05 0.00295 4.014 normal 0.9985299045813723 1.0013770620520774 1.0013015116693988 153.2637868986101
0.304 0.022 0.3883333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9985375751631098 0.9989732396009531 1.0011489133867508 133.39887615078322
0.304 0.022 0.3883333333333333 7.42e-05 0.003 4.014 normal 0.9985662131185081 1.0014868067622933 1.0014055643616357 173.99785850065533
0.304 0.022 0.3883333333333333 7.42e-05 0.00285 4.014 normal 0.9934111754263649 0.9986733258150995 1.000557791321192 114.11866878358657
0.304 0.022 0.3883333333333333 7.42e-05 0.0028 4.014 normal 0.9926289521632495 0.9982087390698917 1.0002741925975067 96.75299641260007
0.304 0.022 0.3883333333333333 7.42e-05 0.00275 4.014 normal 0.9903116961108559 0.9994424233349362 1.0000632624939225 79.26036380979845
0.304 0.022 0.405 7.42e-05 0.002 4.014 normal 0.9778668939070445 0.9960165213879605 0.9970562892976266 237.79560378139115
0.304 0.022 0.405 7.42e-05 0.00205 4.014 normal 0.9785482672211 0.9964149061671358 0.9972365589148128 197.4444487349285
0.304 0.022 0.405 7.42e-05 0.00215 4.014 normal 0.9809403084836456 0.9971556544981031 0.9984406468125578 132.90310966318773
0.304 0.022 0.405 7.42e-05 0.0021 4.014 normal 0.9800704482449484 0.9967456353464477 0.9976852892285833 161.81173761292843
0.304 0.022 0.405 7.42e-05 0.0024000000000000002 4.014 normal 0.9865660106877557 0.9992718937185197 0.999685912575432 31.75137711871051
0.304 0.022 0.405 7.42e-05 0.0022500000000000003 4.014 normal 0.9828742186073344 0.9979393731044844 0.9994034724865074 87.47642648283048
0.304 0.022 0.405 7.42e-05 0.00235 4.014 normal 0.9853286091113026 0.9988448605977142 0.9995022859343224 48.25209636451588
0.304 0.022 0.405 7.42e-05 0.00245 4.014 normal 0.9879820928113124 0.9997740770417965 1.0001898176358477 20.15882467617963
0.304 0.022 0.405 7.42e-05 0.0023 4.014 normal 0.9844841376188422 0.9984182225800236 0.9994621147608038 66.9973497503394
