SqT23 DM31 X2
0.432806 0.00271 81.1371
0.432806 0.00272 81.8846
0.432806 0.00273 83.9165
0.432806 0.00274 86.9647
0.432806 0.00275 90.6343
0.432806 0.00276 94.5368
0.432806 0.00277 98.4117
0.432806 0.00278 102.206
0.432806 0.00279 106.091
0.440741 0.0023 104.519
0.440741 0.00231 101.606
0.440741 0.00232 100.064
0.440741 0.00233 99.6921
0.440741 0.00234 100.009
0.440741 0.00235 100.322
0.440741 0.00236 99.8483
0.440741 0.00237 97.8644
0.440741 0.00238 93.8483
0.440741 0.00239 87.5834
0.440741 0.0024 79.2045
0.440741 0.00241 69.1758
0.440741 0.00242 58.2051
0.440741 0.00243 47.1147
0.440741 0.00244 36.6967
0.440741 0.00245 27.5825
0.440741 0.00246 20.1546
0.440741 0.00247 14.5178
0.440741 0.00248 10.5323
0.440741 0.00249 7.89982
0.440741 0.0025 6.27852
0.440741 0.00251 5.39945
0.440741 0.00252 5.15446
0.440741 0.00253 5.63399
0.440741 0.00254 7.10436
0.440741 0.00255 9.92925
0.440741 0.00256 14.4537
0.440741 0.00257 20.8786
0.440741 0.00258 29.1584
0.440741 0.00259 38.9478
0.440741 0.0026 49.6154
0.440741 0.00261 60.325
0.440741 0.00262 70.1701
0.440741 0.00263 78.3334
0.440741 0.00264 84.2369
0.440741 0.00265 87.6486
0.440741 0.00266 88.7217
0.440741 0.00267 87.9578
0.440741 0.00268 86.0999
0.440741 0.00269 83.9822
0.440741 0.0027 82.368
0.440741 0.00271 81.8133
0.440741 0.00272 82.5853
0.440741 0.00273 84.6519
0.440741 0.00274 87.7412
0.440741 0.00275 91.4537
0.440741 0.00276 95.3961
0.440741 0.00277 99.3048
0.440741 0.00278 103.125
0.440741 0.00279 107.029
0.448692 0.0023 104.78
0.448692 0.00231 101.828
0.448692 0.00232 100.256
0.448692 0.00233 99.866
0.448692 0.00234 100.176
0.448692 0.00235 100.49
0.448692 0.00236 100.022
0.448692 0.00237 98.046
0.448692 0.00238 94.0365
0.448692 0.00239 87.7751
0.448692 0.0024 79.3968
0.448692 0.00241 69.3673
0.448692 0.00242 58.3972
0.448692 0.00243 47.3126
0.448692 0.00244 36.9082
0.448692 0.00245 27.8177
0.448692 0.00246 20.4238
0.448692 0.00247 14.8299
0.448692 0.00248 10.8933
0.448692 0.00249 8.31186
0.448692 0.0025 6.73964
0.448692 0.00251 5.90433
0.448692 0.00252 5.69574
0.448692 0.00253 6.20399
0.448692 0.00254 7.69677
0.448692 0.00255 10.5404
0.448692 0.00256 15.0829
0.448692 0.00257 21.5283
0.448692 0.00258 29.8326
0.448692 0.00259 39.6508
0.448692 0.0026 50.3501
0.448692 0.00261 61.0915
0.448692 0.00262 70.9652
0.448692 0.00263 79.1504
0.448692 0.00264 85.0667
0.448692 0.00265 88.4817
0.448692 0.00266 89.5498
0.448692 0.00267 88.7757
0.448692 0.00268 86.9068
0.448692 0.00269 84.7818
0.448692 0.0027 83.1679
0.448692 0.00271 82.6235
0.448692 0.00272 83.4163
0.448692 0.00273 85.5126
0.448692 0.00274 88.6373
0.448692 0.00275 92.3866
0.448692 0.00276 96.3635
0.448692 0.00277 100.301
0.448692 0.00278 104.144
0.448692 0.00279 108.064
0.456656 0.0023 105.132
0.456656 0.00231 102.147
0.456656 0.00232 100.55
0.456656 0.00233 100.144
0.456656 0.00234 100.448
0.456656 0.00235 100.763
0.456656 0.00236 100.301
0.456656 0.00237 98.3321
0.456656 0.00238 94.3291
0.456656 0.00239 88.0718
0.456656 0.0024 79.695
0.456656 0.00241 69.6658
0.456656 0.00242 58.6972
